taskId,taskLabel,taskCategory,runId,engine,outcome,decision,domDistance,visualSimilarity,invariantPassed,repairedSelector,error,artifactDir
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-1-1788018498283,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/id-rename/id-rename-run-1-1788018498283
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-1-1788018498283,HEURISTIC,PASS,,,,,#confirm-pay-btn,Heuristic matched candidate and action succeeded,dptr-experiments-scale/id-rename/id-rename-run-1-1788018498283
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-1-1788018498283,DPTR,FAIL,REJECT_BUG,0.21705572916666668,0.25,true,,Best candidate failed invariant or visual checks (visual=0.25, invariant=true),dptr-experiments-scale/id-rename/id-rename-run-1-1788018498283
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-2-1788018511750,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/id-rename/id-rename-run-2-1788018511750
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-2-1788018511750,HEURISTIC,PASS,,,,,#confirm-pay-btn,Heuristic matched candidate and action succeeded,dptr-experiments-scale/id-rename/id-rename-run-2-1788018511750
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-2-1788018511750,DPTR,FAIL,REJECT_BUG,0.21705572916666668,0.25,true,,Best candidate failed invariant or visual checks (visual=0.25, invariant=true),dptr-experiments-scale/id-rename/id-rename-run-2-1788018511750
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-3-1788018525147,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/id-rename/id-rename-run-3-1788018525147
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-3-1788018525147,HEURISTIC,PASS,,,,,#confirm-pay-btn,Heuristic matched candidate and action succeeded,dptr-experiments-scale/id-rename/id-rename-run-3-1788018525147
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-3-1788018525147,DPTR,FAIL,REJECT_BUG,0.21705572916666668,0.25,true,,Best candidate failed invariant or visual checks (visual=0.25, invariant=true),dptr-experiments-scale/id-rename/id-rename-run-3-1788018525147
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-4-1788018538557,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/id-rename/id-rename-run-4-1788018538557
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-4-1788018538557,HEURISTIC,PASS,,,,,#confirm-pay-btn,Heuristic matched candidate and action succeeded,dptr-experiments-scale/id-rename/id-rename-run-4-1788018538557
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-4-1788018538557,DPTR,FAIL,REJECT_BUG,0.21705572916666668,0.25,true,,Best candidate failed invariant or visual checks (visual=0.25, invariant=true),dptr-experiments-scale/id-rename/id-rename-run-4-1788018538557
id-rename,ID rename (submit-btn -> confirm-pay-btn),UI_UPDATE,id-rename-run-5-1788018551962,NO_HEAL,FAIL,,,,,,,dptr-experiments-scale/id-rename/id-rename-run-5-1788018551962
